NO.,hostile_offline,hostile_online,aggression
91,0,0,0.291666666666667
92,0,0,0.575757575757576
93,0.583333333333333,0.5,0.583333333333333
94,0.0833333333333333,0.0277777777777778,0.263888888888889
95,0.0416666666666667,0.222222222222222,0.333333333333333
96,0,0,0.236111111111111
97,0,0,0.212121212121212
98,0,0,0.291666666666667
99,0,0,0.347222222222222
100,0.125,0.138888888888889,0.444444444444444
101,0,0,0.283333333333333
102,0,0.25,0.277777777777778
103,0.25,1,0.616666666666667
104,0,0,0.152777777777778
105,0,0,0.361111111111111
106,0,0,0.375
107,0.0833333333333333,0,0.333333333333333
108,0.0416666666666667,0,0.444444444444444
109,0,0,0.375
110,0,0,0.541666666666667
111,0,0,0.378787878787879
112,0.416666666666667,0.527777777777778,0.361111111111111
113,0.416666666666667,0.333333333333333,0.527777777777778
114,0.0833333333333333,0,0.305555555555556
115,0,0,0.25
116,0.0416666666666667,0,0.305555555555556
117,0,0,0.319444444444444
118,0,0,0.236111111111111
119,0,0,0.222222222222222
120,0,0,0.257575757575758
121,0,0,0.458333333333333
122,0.0416666666666667,0,0.305555555555556
123,0.333333333333333,0.466666666666667,0.486111111111111
124,0,0,0.35
125,0,0,0.194444444444444
126,0,0,0.277777777777778
127,0,0,0.125
128,0,0,0.541666666666667
129,0,0,0.277777777777778
130,0,0.0555555555555555,0.378787878787879
131,0,0,0.361111111111111
132,0.916666666666667,0.833333333333333,0.777777777777778
133,0,0,0.347222222222222
134,0,0,0.316666666666667
135,0,0,0.277777777777778
136,0,0,0.0972222222222222
137,0,0,0.106060606060606
138,0,0,0.409090909090909
139,0.111111111111111,0.138888888888889,0.65
140,0,0,0.272727272727273
141,0.458333333333333,0.388888888888889,0.402777777777778
142,0,0,0.222222222222222
143,0,0,0.318181818181818
144,0.0555555555555555,0,0.407407407407407
145,0,0,0.25
146,0.416666666666667,0.444444444444444,0.583333333333333
147,0,0,0.138888888888889
148,0,0,0.196969696969697
149,0,0,0.277777777777778
150,0.166666666666667,0.166666666666667,0.555555555555555
151,0.166666666666667,0.166666666666667,0.541666666666667
152,0.0416666666666667,0,0.333333333333333
153,0.0416666666666667,0.25,0.291666666666667
154,0.0416666666666667,0,0.541666666666667
155,0,0,0.5
156,0,0,0.222222222222222
157,0,0,0.393939393939394
158,0,0,0
159,0.0833333333333333,0.0833333333333333,0.638888888888889
160,0,0,0.388888888888889
161,0.333333333333333,0.361111111111111,0.5
162,0,0,0.0972222222222222
163,0,0,0.277777777777778
164,0.0416666666666667,0.0277777777777778,0.416666666666667
165,0,0,0.319444444444444
166,0,0,0.180555555555556
167,0,0,0.196969696969697
168,0,0.0555555555555555,0.291666666666667
169,0,0,0.333333333333333
170,0,0,0.263888888888889
171,0,0.305555555555556,0.402777777777778
172,0.666666666666667,0.694444444444445,0.805555555555555
173,0,0,0.3
174,0,0,0.208333333333333
175,0.0416666666666667,0,0.541666666666667
176,0.166666666666667,0.111111111111111,0.236111111111111
177,0.0416666666666667,0.0277777777777778,0.319444444444444
178,0,0,0.152777777777778
179,0,0,0.166666666666667
180,0,0,0.166666666666667
181,0,0,0.125
182,0,0,0.259259259259259
183,0,0,0.416666666666667
184,0,0,0.194444444444444
185,0.166666666666667,0.166666666666667,0.555555555555555
186,0.166666666666667,0.166666666666667,0.583333333333333
187,0.0555555555555555,0,0.272727272727273
188,0,0.0333333333333333,0.319444444444444
189,0.0416666666666667,0,0.458333333333333
190,0.333333333333333,0.333333333333333,0.348484848484848
191,0,0,0.486111111111111
192,0,0,0.263888888888889
193,0,0,0.319444444444444
194,0,0,0.361111111111111
195,0.583333333333333,0.444444444444444,0.736111111111111
196,0,0,0.347222222222222
197,0.25,0.638888888888889,0.430555555555556
198,0,0,0.263888888888889
199,0,0,0.111111111111111
200,0,0,0.319444444444444
201,0.0416666666666667,0,0.513888888888889
202,0.166666666666667,0.166666666666667,0.541666666666667
203,0,0,0.472222222222222
204,0,0,0.666666666666667
205,0.25,0,0.366666666666667
206,0.458333333333333,0.444444444444444,0.625
207,0.166666666666667,0.194444444444444,0.583333333333333
208,0,0,0.277777777777778
209,0.166666666666667,0.166666666666667,0.527777777777778
210,0,0.533333333333333,0.222222222222222
